city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
Kagoshima,Japan,8.93,29.78,6.54,3.72,3.71,2.69,1.13,1.01,1.19,1.36,6.70,1.78,5.96,4.84,11.17,4.47,nan,14.89,nan,nan,0.82,0.82,0.74,14.89,2.61,2.23,3.72,1.34,59.56,3.87,3.87,nan,1.10,nan,nan,94.93,nan,40.95,nan,nan,12.28,215.91,nan,37.23,22.34,52.12,89.34,595.61,446.71,nan,nan,nan,nan,2680.27,nan,0.00
Dortmund,Germany,12.64,52.69,8.43,3.64,3.16,3.14,2.07,2.04,1.06,2.21,2.49,3.68,13.07,7.82,17.91,2.87,1.68,2.40,0.83,2.03,0.94,1.84,0.91,5.27,0.56,1.58,7.38,3.16,73.76,3.69,2.00,31.61,2.32,26343.63,26343.63,297.52,0.12,37.50,25.74,20.02,14.75,245.87,nan,90.62,39.52,73.76,114.16,700.74,386.37,1527.93,843.00,3582.73,2423.61,2646.41,2.50,1.00
Irapuato,Mexico,5.16,18.05,5.93,1.80,3.61,1.93,0.64,0.46,1.01,1.23,1.55,1.34,5.16,5.16,11.45,2.58,1.03,0.77,1.03,1.03,0.96,0.77,0.67,10.31,0.83,1.42,3.35,0.54,15.47,2.06,0.31,10.31,1.12,23206.04,18049.15,nan,0.05,41.26,23.21,7.74,3.97,103.14,3094.14,25.78,25.78,59.30,38.68,180.49,128.92,335.20,247.53,412.55,670.40,825.10,10.48,0.00
Mar del Plata,Argentina,5.00,30.00,4.00,1.50,3.00,1.25,1.42,1.01,0.68,0.94,0.93,1.23,4.88,4.00,5.00,1.40,1.23,0.82,1.00,0.75,1.20,0.40,1.05,4.00,1.50,1.90,1.90,0.35,10.00,1.00,0.72,6.00,0.69,22500.00,24333.33,62.22,0.10,21.20,30.00,20.00,4.00,71.25,1140.00,61.25,43.33,80.00,71.25,172.50,137.50,350.00,263.75,2175.00,1375.00,365.67,56.25,0.00
Makhachkala,Russia,4.80,30.00,6.00,1.92,4.80,2.77,1.22,0.51,1.46,0.55,0.96,1.92,4.80,4.80,6.56,1.12,1.73,1.44,1.76,0.88,0.64,1.60,0.56,18.40,0.72,2.88,2.85,0.43,nan,1.12,0.32,3.84,0.81,44800.01,32000.01,68.72,0.02,11.15,40.00,nan,5.60,160.00,nan,48.00,48.00,112.00,64.00,368.00,186.67,528.00,320.00,1520.00,933.33,453.33,9.30,0.00
Albany,United States,13.50,65.00,9.00,5.00,6.00,3.62,2.02,1.39,1.07,3.41,2.75,3.29,11.56,9.54,14.67,4.20,1.48,3.59,5.22,2.05,2.47,1.65,1.60,12.25,3.00,2.25,11.36,1.50,32.50,5.00,1.24,30.00,1.23,23000.00,20861.12,143.70,0.17,68.88,25.00,42.00,12.00,1200.00,9250.00,40.71,49.00,73.80,99.14,1300.00,1100.00,2000.00,1550.00,3229.17,2152.78,4825.00,5.43,1.00
Knoxville,United States,14.00,55.00,8.00,4.00,5.50,4.03,2.05,1.46,0.93,2.61,2.72,2.20,9.36,8.80,13.72,4.55,1.39,3.50,3.99,2.45,2.49,1.36,1.33,10.00,1.86,2.03,6.00,1.50,60.11,2.00,1.24,20.00,1.14,23500.00,20875.00,193.04,0.10,65.40,35.83,35.00,12.00,1087.50,nan,44.00,37.17,93.29,94.20,1218.75,911.11,2120.00,1611.11,3767.37,nan,3950.00,5.27,1.00
Bucaramanga,Colombia,2.52,12.59,3.78,1.05,1.26,0.91,0.68,0.50,0.76,0.53,0.80,1.14,2.27,2.85,4.58,1.00,0.43,0.39,0.65,0.32,0.50,0.42,0.55,5.24,0.63,1.03,1.89,0.55,31.47,1.17,1.22,3.15,0.50,16783.93,15390.87,48.88,0.03,15.47,17.38,4.20,2.52,90.74,1804.27,39.86,23.98,56.91,27.62,171.77,133.75,278.73,220.29,769.26,839.20,234.40,11.67,1.00
Mission Viejo,United States,14.00,75.00,9.76,5.00,8.50,4.17,2.00,1.38,1.17,4.13,3.31,4.16,10.39,16.52,20.93,3.42,1.76,3.95,4.41,2.77,2.20,1.55,1.50,9.75,1.70,1.75,7.25,2.00,nan,3.56,1.86,24.49,1.58,20500.00,22166.67,237.28,0.20,68.83,23.33,nan,13.50,683.33,13000.00,45.13,25.00,98.50,110.00,2400.00,nan,3000.00,nan,4305.56,5381.96,4805.00,5.29,0.00
Reynosa,Mexico,7.99,18.56,5.67,2.45,3.87,1.80,1.05,0.60,1.03,1.55,0.98,1.80,6.29,3.35,7.22,2.06,0.95,1.16,1.22,1.16,1.16,0.77,0.76,5.16,0.90,1.16,2.71,0.52,15.47,1.29,1.03,10.31,0.89,15470.70,18049.15,38.10,0.00,21.92,18.05,12.03,3.84,321.45,4572.45,18.05,14.18,60.16,55.01,193.38,223.47,360.98,438.34,670.40,438.34,541.47,10.33,0.00
Essen,Germany,11.59,55.32,8.69,4.00,3.16,3.01,2.63,1.79,0.98,1.77,2.07,2.89,12.90,7.33,13.00,2.21,1.71,1.90,0.83,2.11,0.94,1.43,0.40,3.95,0.56,2.00,7.38,3.16,84.30,4.21,2.11,33.51,2.32,17913.67,18967.41,233.34,0.17,39.52,20.42,45.66,10.54,305.59,10748.20,86.93,52.69,80.35,121.18,965.93,447.84,1053.75,965.93,nan,nan,2928.53,1.96,1.00
Genoa,Italy,15.81,63.22,8.43,5.27,5.27,1.71,2.63,1.00,1.57,2.49,2.51,3.31,15.81,9.35,19.72,2.11,2.12,2.65,2.55,1.46,1.42,1.01,0.68,7.38,1.87,2.71,6.11,1.58,48.47,5.27,1.00,26.34,2.19,26343.63,29856.11,151.61,0.18,31.07,54.33,19.85,9.22,651.21,12513.22,80.74,37.93,92.20,122.37,679.67,491.05,1053.75,843.00,3389.55,1264.49,1413.34,2.19,1.00
Bakersfield,United States,16.00,55.00,9.00,6.00,7.00,5.60,2.45,2.21,1.01,3.72,5.73,3.94,11.57,23.09,26.42,5.36,2.14,5.51,4.12,1.84,4.94,2.16,3.92,15.00,4.38,5.25,10.00,1.75,31.00,3.00,1.71,27.00,1.56,30000.00,34543.25,312.50,nan,74.00,35.00,25.00,12.00,750.00,nan,42.50,30.00,82.50,201.00,1175.00,1070.83,2256.43,1966.67,1955.44,1399.31,3366.02,7.62,1.00
Shah Alam,Malaysia,2.28,18.23,3.65,1.82,3.19,2.62,0.68,0.44,1.60,0.78,1.77,1.52,14.81,5.89,11.62,2.40,1.31,2.37,1.40,1.00,1.25,0.99,0.68,nan,nan,nan,4.05,1.14,22.79,1.03,0.80,5.70,0.47,34188.03,27350.43,33.98,0.10,26.89,36.47,9.12,4.33,135.61,7597.34,38.75,25.53,54.70,58.88,303.89,182.34,585.00,326.69,1670.89,1115.86,1127.81,4.33,1.00
Cuiaba,Brazil,3.83,13.41,4.60,0.96,1.53,1.15,0.91,0.57,0.89,1.28,1.79,1.72,7.98,3.19,7.34,2.30,1.15,0.96,1.53,0.96,0.96,2.49,0.96,3.83,1.45,1.44,nan,0.91,31.61,0.96,0.48,5.75,1.28,20117.25,24907.08,95.80,0.19,22.99,19.16,22.99,4.60,114.96,1839.29,28.74,57.48,57.48,38.32,191.59,162.85,478.98,229.91,1149.56,766.37,478.98,14.33,0.00
Ogden,United States,11.00,40.00,7.00,3.00,4.50,4.80,1.67,1.20,0.76,3.50,3.58,2.00,9.91,7.72,11.01,3.26,1.33,2.89,2.73,1.73,2.04,1.91,2.66,14.00,4.29,4.42,7.25,2.50,85.00,5.00,1.86,30.00,1.12,20000.00,19625.00,121.81,0.10,62.00,56.33,8.00,10.00,nan,10512.00,43.00,37.33,76.00,88.75,1300.00,1416.67,1616.67,1650.00,1937.50,1829.86,3182.67,5.95,0.00
Malaga,Spain,10.54,47.42,8.43,2.63,3.16,1.84,1.94,1.26,0.83,1.03,1.29,2.45,11.43,6.47,12.21,1.61,1.34,1.21,1.53,1.12,1.07,0.99,0.71,4.21,1.01,1.72,5.27,1.48,42.10,4.21,0.91,20.23,1.84,26343.63,24130.77,128.41,0.19,34.91,46.45,12.95,8.54,375.40,8935.76,80.35,33.12,74.51,97.85,747.96,610.36,1188.39,978.23,3723.23,2344.58,1766.37,2.17,1.00
Puente Alto,Chile,5.09,39.62,4.07,2.26,1.81,1.70,1.02,0.81,1.02,0.98,1.17,2.87,7.43,3.40,7.50,1.47,1.70,0.79,2.72,1.36,3.40,0.62,1.81,2.26,1.13,2.26,3.40,nan,nan,0.45,1.25,9.05,0.97,14929.26,14136.96,101.87,0.14,16.98,nan,nan,5.66,282.97,3395.59,30.56,33.96,40.75,54.33,nan,nan,nan,nan,nan,nan,452.74,3.70,0.00
Tomsk,Russia,8.00,24.00,6.40,1.48,2.00,2.40,0.98,0.46,1.06,0.56,1.86,1.59,16.10,5.28,9.35,2.08,1.90,2.08,3.35,0.68,0.77,1.31,0.62,9.60,1.03,1.94,2.96,0.38,29.60,1.72,0.32,6.40,0.80,36800.01,34426.67,119.99,0.04,7.33,40.88,21.87,6.40,134.00,nan,92.00,54.67,124.80,124.00,416.00,256.36,696.00,465.60,2156.00,1426.67,635.43,10.05,1.00
Dehra Dun,India,1.84,18.42,5.22,2.03,2.33,1.41,0.37,0.19,0.71,0.44,0.56,0.88,4.38,3.19,3.93,1.45,0.67,0.93,0.54,0.32,0.43,0.52,0.37,8.60,1.75,2.30,4.05,0.43,4.91,0.61,0.20,1.84,1.21,nan,18422.64,58.34,0.01,8.75,17.69,11.05,4.30,51.28,1321.52,28.66,31.63,63.87,51.58,145.85,74.92,331.61,186.68,2897.58,615.45,358.14,7.70,1.00
Bristol,United Kingdom,18.45,73.80,7.38,5.54,6.15,4.14,2.18,1.49,1.33,1.30,1.84,2.62,6.74,6.80,9.46,2.37,1.56,2.65,2.98,1.71,1.17,0.89,1.23,9.84,2.16,2.84,15.99,3.08,102.58,3.20,1.64,25.09,1.96,27364.43,27367.50,261.88,0.11,41.46,35.94,13.71,12.30,1426.80,15744.00,86.10,35.81,77.31,84.42,1343.04,1054.29,2163.67,1660.50,7841.25,4378.57,2851.94,3.31,1.00
Bremen,Germany,12.64,52.69,10.53,4.74,3.16,3.34,2.02,2.33,1.20,1.73,1.96,2.64,15.07,7.43,20.37,3.15,1.68,2.07,0.85,2.24,1.02,1.47,0.52,5.26,0.63,1.65,7.48,3.00,71.44,3.69,2.42,31.61,2.28,24236.14,22128.65,222.28,0.10,36.88,25.95,13.17,10.27,453.18,19626.00,83.77,36.18,82.72,104.85,658.59,504.29,1304.01,912.37,4214.98,3108.55,2300.60,2.72,1.00
Hachioji,Japan,7.45,27.55,5.21,3.72,3.72,2.23,1.49,0.71,1.36,1.79,4.76,1.88,nan,5.96,nan,4.99,1.49,4.17,5.21,6.30,3.60,2.08,1.41,nan,nan,nan,5.21,nan,nan,5.21,nan,nan,1.23,nan,nan,245.23,1.12,29.78,74.45,nan,13.40,nan,nan,37.23,29.78,67.01,nan,483.94,372.26,893.42,670.07,nan,nan,nan,nan,0.00
Akron,United States,22.00,70.00,10.50,5.00,4.75,4.86,1.62,1.29,0.85,2.12,4.50,1.50,9.76,10.07,16.34,5.29,1.33,5.29,4.70,2.14,1.38,1.72,2.05,14.00,1.96,2.58,8.00,1.62,50.00,3.25,1.63,20.00,1.24,22000.00,19000.00,233.75,0.22,69.29,28.33,nan,11.50,600.00,6000.00,44.38,36.00,75.62,100.83,600.00,700.00,1250.00,1566.67,861.11,nan,2786.77,5.74,0.00
Irbid,Jordan,3.52,28.20,6.34,4.93,6.70,1.06,0.51,0.35,1.30,0.42,1.27,1.67,7.58,5.64,11.28,1.52,1.41,0.92,0.66,0.85,0.59,0.40,0.53,9.87,6.34,5.64,3.38,0.78,14.80,0.70,0.47,7.05,1.21,27491.89,28666.76,78.13,0.02,33.48,32.90,25.85,8.46,85.37,2138.26,33.84,27.26,65.79,75.19,177.24,124.07,333.66,216.18,546.31,486.40,528.69,7.87,1.00
Baton Rouge,United States,19.00,75.00,8.00,3.00,4.75,4.25,1.95,1.46,1.07,3.10,3.43,2.65,11.95,11.57,14.65,5.95,1.32,2.96,3.74,2.19,3.31,2.05,1.36,17.50,2.79,3.15,6.65,1.75,56.00,4.00,1.24,30.00,1.05,23995.00,20744.00,134.22,0.15,54.00,50.00,13.00,12.00,641.67,7750.00,46.50,42.00,82.88,85.00,1300.00,966.67,2166.67,1700.00,1453.13,1345.49,3566.67,5.43,0.00
Ensenada,Mexico,6.19,28.36,5.93,2.58,2.58,2.73,1.04,0.69,1.21,1.96,1.49,1.69,6.11,4.29,8.30,2.95,1.24,1.23,1.44,1.84,1.09,1.03,0.91,10.70,1.48,2.58,3.56,0.72,15.47,1.80,1.05,7.74,1.11,20627.59,18049.15,93.53,0.04,21.87,37.82,6.88,4.25,270.74,3094.14,44.57,42.62,100.75,100.81,464.12,223.47,687.59,498.50,670.40,670.40,532.88,15.00,1.00
Durgapur,India,0.98,7.37,4.91,1.66,1.97,0.74,0.39,0.13,0.56,0.34,0.43,0.90,3.38,2.82,7.37,1.47,0.49,1.66,nan,nan,0.53,0.55,0.48,7.98,0.98,1.47,4.42,0.23,3.07,1.35,0.37,1.23,1.28,7676.10,22727.67,28.66,0.01,8.47,12.90,12.28,1.84,39.92,1105.36,18.42,36.85,24.56,30.70,85.97,51.17,204.70,147.38,290.84,118.98,399.16,9.67,0.00
Columbia,United States,15.00,65.00,7.25,3.38,5.00,3.77,2.17,1.34,0.91,2.88,3.26,3.35,10.71,11.76,13.04,3.40,2.70,2.68,2.78,1.97,1.70,1.61,1.94,8.99,3.01,3.30,7.00,1.50,50.00,2.00,1.55,18.00,1.03,23500.00,24815.00,162.37,0.15,60.99,38.00,12.86,11.00,500.00,8927.00,35.00,31.99,71.25,101.38,1497.00,1172.50,2806.00,1399.50,nan,nan,5711.11,5.43,0.00
Ciudad Bolivar,Venezuela,nan,nan,nan,nan,nan,nan,nan,nan,1.94,nan,1.50,3.60,3.75,4.50,5.00,2.00,nan,nan,nan,nan,nan,0.50,nan,nan,nan,3.00,1.50,nan,nan,nan,nan,6.00,0.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.00,40.00,45.00,60.00,nan,nan,nan,nan,nan,nan,nan,nan,0.00
New Haven,United States,15.00,80.00,9.00,8.00,7.00,5.00,2.10,1.78,1.11,6.61,6.33,5.33,11.46,10.28,13.22,5.33,1.42,5.61,5.61,3.21,3.65,2.03,1.88,15.00,2.68,3.48,11.53,1.25,65.00,3.00,1.40,nan,1.30,29500.00,20000.00,188.61,0.15,64.28,27.50,nan,15.00,1650.00,25000.00,46.83,36.16,71.67,90.00,1725.00,1456.25,4000.00,2333.33,4305.56,nan,4162.33,4.59,1.00
Orenburg,Russia,18.00,68.80,5.20,3.52,4.56,2.88,1.70,1.12,1.00,0.49,1.49,1.40,8.64,3.76,10.75,1.92,1.55,1.60,2.35,1.04,0.65,1.28,0.40,7.20,0.88,1.68,3.36,0.51,25.60,1.02,0.13,4.80,0.81,36800.01,46400.01,123.13,0.04,7.20,24.00,19.20,4.16,nan,nan,72.00,60.00,90.40,88.80,288.00,170.67,480.00,312.00,1360.00,1000.00,661.18,8.58,0.00
Asansol,India,2.15,13.82,6.14,1.84,2.52,1.19,0.41,0.15,0.62,0.42,0.56,0.85,4.64,3.44,8.14,1.55,0.61,1.66,0.70,0.34,0.49,0.49,0.32,10.13,1.76,3.68,3.93,0.12,nan,1.23,0.25,1.23,1.41,6140.88,18422.64,36.85,0.01,8.60,18.42,6.14,3.07,42.99,614.09,19.65,61.41,61.41,36.85,nan,nan,nan,nan,198.30,158.64,1105.36,7.50,0.00
Benguela,Angola,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00
Dresden,Germany,10.54,47.42,8.96,3.69,3.69,3.14,2.97,2.26,1.03,1.04,2.31,2.40,11.03,7.26,10.53,2.07,1.73,2.43,1.41,1.42,1.11,1.21,0.90,5.80,0.69,1.26,8.43,2.63,67.02,4.11,2.37,26.87,2.30,23182.39,25835.73,249.36,0.09,32.90,36.13,22.66,10.54,242.07,10379.39,90.92,42.15,90.32,121.78,577.66,465.40,1141.56,869.93,4394.12,3319.30,2579.58,2.62,1.00
Nellore,India,1.35,11.05,3.07,0.98,2.46,1.47,0.32,0.17,0.69,0.43,0.55,0.77,2.46,3.22,5.53,2.46,0.66,1.01,0.49,0.33,0.41,0.83,0.32,7.98,1.45,3.19,3.13,0.25,3.07,0.37,0.14,0.61,1.56,11716.80,14738.11,44.67,0.01,9.01,24.56,11.05,1.84,51.17,2149.31,30.70,42.99,32.75,45.03,106.44,65.50,249.73,196.51,594.90,462.70,593.62,8.33,0.00
Surakarta,Indonesia,1.30,7.13,2.92,2.27,3.08,0.89,0.81,0.29,1.20,0.94,0.75,1.87,6.48,4.54,7.56,2.51,1.78,0.84,1.08,1.13,1.84,0.45,0.23,18.64,1.62,2.59,1.94,0.32,9.72,0.97,0.58,1.62,0.80,16204.77,15005.61,32.41,0.14,23.77,22.69,16.85,2.27,68.06,3111.32,24.31,17.29,55.10,54.02,211.74,118.83,259.28,162.05,648.19,nan,132.88,4.50,0.00
Kemerovo,Russia,3.95,19.73,2.17,1.09,4.00,1.18,0.59,0.27,1.24,0.69,1.70,1.71,11.02,5.40,7.57,2.15,1.85,2.02,3.20,0.86,0.65,0.93,0.68,8.00,0.88,1.76,2.92,0.48,nan,1.92,0.24,4.80,0.81,41600.01,40466.67,107.10,0.03,7.20,28.33,16.00,5.60,345.14,4586.67,81.50,50.40,104.00,112.00,400.00,224.00,640.00,400.00,1223.10,987.11,504.53,10.54,0.00
Manchester,United Kingdom,18.45,73.80,7.38,5.54,5.84,3.82,2.12,1.58,1.32,1.39,2.03,2.86,7.25,7.24,10.24,2.38,1.69,2.40,1.80,1.52,1.42,0.86,1.42,9.23,2.10,3.55,14.91,3.08,86.10,2.83,1.59,22.88,2.02,28290.00,30079.50,255.46,0.12,34.03,32.27,11.25,11.69,1236.70,13530.00,83.25,34.73,77.04,82.64,1137.01,831.73,2148.40,1305.48,4807.99,3160.75,2799.28,2.94,1.00
Amravati,India,2.03,8.90,4.18,1.84,3.68,1.51,0.43,0.16,0.61,0.30,0.58,0.88,5.50,2.54,2.92,1.75,0.48,0.89,0.37,0.29,0.26,0.28,0.35,4.61,2.33,2.82,3.99,0.25,3.99,0.55,0.21,1.23,1.33,9211.32,14738.11,26.44,0.02,7.98,38.38,14.33,2.76,34.29,614.09,25.05,21.49,27.63,27.63,67.55,36.85,122.82,85.97,594.90,528.80,327.51,9.72,0.00
Bhavnagar,India,0.61,9.83,3.68,1.84,3.68,1.23,0.37,0.14,0.70,0.37,0.52,0.90,4.30,2.70,7.37,1.54,0.47,0.84,0.34,0.37,0.27,0.57,0.29,11.05,2.76,3.99,1.84,0.25,4.30,0.61,0.25,1.23,0.97,13202.89,30397.36,38.09,0.01,4.78,19.65,9.21,3.07,30.70,861.26,27.20,13.50,33.77,31.58,98.25,73.69,245.64,82.90,614.09,368.45,nan,7.45,0.00
Herat,Afghanistan,1.69,6.21,2.82,2.26,nan,0.56,0.40,0.11,0.38,0.40,1.36,1.40,2.54,2.15,4.52,0.51,1.13,0.68,0.37,0.38,0.24,nan,0.23,nan,1.13,nan,2.26,0.23,8.47,1.69,1.13,3.39,0.68,nan,26440.68,56.50,0.04,112.99,9.79,0.00,nan,16.95,nan,16.95,76.27,22.60,19.77,62.15,39.55,112.99,79.10,480.78,248.42,152.54,10.30,0.00
Juiz de Fora,Brazil,2.78,38.32,4.79,1.34,2.30,1.34,1.10,0.56,0.81,1.21,1.27,1.69,6.71,3.17,6.90,1.05,0.94,0.81,1.53,0.74,0.91,0.67,0.65,9.58,0.93,2.87,2.30,0.72,42.05,0.97,0.57,4.12,1.28,19330.77,27110.40,84.62,0.15,20.12,17.24,20.12,3.74,229.91,nan,28.74,28.74,57.48,47.90,172.43,114.96,344.87,287.39,1149.56,957.96,268.23,12.00,0.00
Hamadan,Iran,4.00,30.00,4.98,0.80,1.94,1.51,0.93,0.77,0.81,0.53,3.72,1.30,4.05,3.19,8.11,1.12,1.38,1.11,0.66,0.60,0.50,0.51,0.30,1.00,0.50,1.27,2.88,0.36,nan,0.50,0.36,3.00,0.71,65000.00,54950.14,21.10,0.01,13.96,23.42,17.40,1.50,98.96,1605.63,53.37,46.53,138.76,91.91,633.34,468.34,1464.59,989.17,3445.65,2329.35,720.51,20.00,0.00
Novokuznetsk,Russia,5.57,24.00,3.52,3.68,3.18,1.44,0.93,0.31,1.10,0.56,1.20,1.63,7.60,5.33,7.44,1.60,1.76,1.42,2.56,0.64,0.56,0.69,0.56,6.00,0.96,1.68,3.20,0.40,nan,2.00,0.80,nan,0.81,54000.01,37600.01,120.33,0.08,4.87,53.47,nan,5.77,216.79,11744.00,52.53,46.07,71.73,174.00,305.46,211.86,496.00,352.00,991.46,651.06,411.29,12.30,0.00
Chiclayo,Peru,2.61,22.19,4.83,1.44,2.61,2.35,0.65,0.44,0.91,0.60,0.81,2.43,2.87,2.28,6.13,1.17,1.04,1.04,0.78,0.59,0.72,0.33,0.52,5.61,1.20,1.83,4.70,0.52,nan,1.31,1.31,3.92,0.90,20885.00,19579.69,26.63,0.26,39.16,24.37,nan,3.92,71.79,1879.65,40.81,27.41,67.79,66.14,117.48,117.48,208.85,352.43,596.36,993.94,267.59,10.00,0.00
Cabinda,Angola,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00
Londrina,Brazil,3.83,17.24,5.36,1.53,2.87,1.11,0.86,0.50,0.72,1.29,1.24,1.93,8.14,3.74,6.48,1.27,0.74,0.65,1.29,0.72,0.76,0.71,0.57,7.66,0.86,3.35,2.49,0.84,nan,1.41,0.96,nan,1.29,19159.29,23693.66,59.39,nan,16.48,18.17,10.78,4.79,319.32,3908.50,45.98,56.20,67.06,79.83,175.63,108.57,332.09,229.91,862.17,517.30,389.57,10.38,1.00
Heroica Matamoros,Mexico,4.13,36.10,4.64,1.29,2.06,2.54,0.62,0.52,1.63,2.97,1.25,2.28,8.77,7.16,14.27,2.76,1.72,1.74,2.18,1.70,1.29,1.50,0.99,12.89,1.66,2.93,3.61,0.53,15.47,2.58,0.52,11.19,0.85,20937.01,22148.88,75.42,0.06,34.55,25.78,5.16,3.22,379.25,8079.14,50.28,41.26,106.58,86.38,309.41,128.92,489.91,412.55,773.53,567.26,515.69,10.17,0.00
Tabuk,Saudi Arabia,10.64,27.93,6.65,1.33,1.60,2.48,0.67,0.30,1.42,0.62,2.00,3.13,4.52,5.32,9.98,1.86,1.42,1.42,1.86,1.86,1.68,1.06,0.53,3.99,2.45,1.33,7.45,2.66,47.89,nan,0.80,nan,0.55,nan,nan,209.39,0.40,101.98,88.68,79.81,15.96,319.24,2394.33,39.91,93.11,125.04,79.81,485.52,443.39,771.51,638.49,798.11,532.07,2321.05,5.00,0.00
Muntinlupa City,Philippines,4.49,17.94,3.50,1.44,2.11,2.33,0.83,0.39,1.71,1.27,0.90,1.81,4.89,3.68,7.00,3.48,1.61,2.76,2.17,2.03,1.79,2.11,0.92,11.66,1.18,1.76,2.51,0.22,10.77,0.72,0.40,3.59,1.12,43060.92,23324.66,98.68,0.12,32.88,49.79,8.07,6.28,74.76,4664.93,22.42,19.24,79.24,103.17,403.70,209.32,1166.23,448.55,2332.47,717.68,448.55,5.33,0.00
Samarkand,Uzbekistan,5.00,19.44,3.50,1.20,2.75,1.55,0.60,0.29,0.99,0.27,1.20,1.49,6.08,3.64,7.26,1.42,1.71,2.28,1.48,0.48,0.36,0.30,0.30,2.50,1.16,2.17,1.88,0.15,10.00,0.50,0.27,3.00,0.91,13508.25,19690.73,32.50,0.02,15.00,36.67,11.00,1.50,200.00,5622.48,25.00,50.00,80.00,99.12,275.00,206.67,500.00,383.33,730.67,482.64,253.33,18.00,0.00
Hannover,Germany,10.54,57.96,8.43,5.01,4.21,3.36,2.98,3.01,0.99,2.36,2.10,2.76,10.10,7.83,17.07,3.29,1.74,2.13,1.28,1.64,1.08,1.11,0.50,5.27,0.66,1.73,8.42,3.21,73.76,3.37,2.08,31.61,2.32,23182.39,22892.61,231.32,0.13,32.27,40.64,20.65,12.64,395.68,14489.00,86.99,44.65,89.92,120.24,755.18,530.82,1299.53,1061.27,5268.73,3898.86,2664.16,1.96,1.00
Valledupar,Colombia,1.91,8.70,5.78,1.26,1.94,1.44,0.63,0.66,0.95,0.88,0.70,1.79,3.37,3.09,5.03,1.40,0.57,1.08,0.80,0.57,0.70,0.66,0.73,6.29,0.63,1.26,1.89,0.57,40.00,1.68,1.53,4.00,0.50,7762.57,14818.82,82.77,0.04,26.07,29.66,20.00,3.15,106.64,1200.00,35.68,24.41,46.14,33.55,150.81,106.10,233.58,168.40,14338.50,13027.50,525.88,10.16,0.00
Ajmer,India,0.86,6.14,3.07,3.07,2.46,0.74,0.31,0.18,0.53,0.55,0.64,1.03,6.14,3.93,7.68,1.47,0.40,0.43,0.37,0.31,0.40,nan,0.37,24.56,nan,nan,4.30,0.25,7.37,nan,nan,nan,1.23,nan,15966.29,12.28,0.00,4.90,18.42,nan,3.07,18.42,515.83,12.28,12.28,49.13,9.83,85.97,55.27,221.07,147.38,1043.95,393.02,368.45,7.80,0.00
An Nasiriyah,Iraq,4.49,10.35,6.90,nan,nan,nan,0.35,0.17,0.80,0.90,1.30,1.61,3.68,3.48,9.13,1.08,1.11,1.03,0.57,0.62,0.55,0.34,0.34,25.21,nan,nan,2.26,0.25,63.03,1.68,2.01,10.28,0.64,nan,17584.03,nan,0.08,25.21,25.21,16.81,4.20,63.03,nan,25.21,17.25,252.10,31.06,420.17,252.10,504.20,420.17,840.34,420.17,420.17,8.00,0.00
Poznan,Poland,6.76,33.81,5.63,2.25,2.14,2.59,1.36,1.32,0.75,0.94,0.91,2.23,6.61,4.50,8.94,0.91,1.21,1.44,2.28,0.67,0.67,0.87,0.52,5.63,0.86,1.30,4.06,1.13,27.04,1.80,0.63,7.89,1.53,19833.00,21766.71,130.41,0.05,14.26,28.86,15.33,6.54,286.55,4770.44,72.68,33.50,67.61,81.70,518.90,434.74,806.05,650.11,2873.53,2107.26,970.75,4.42,1.00
City of Calamba,Philippines,2.78,26.91,2.69,1.70,3.59,2.33,0.83,0.47,1.60,1.20,0.90,1.72,9.63,3.05,6.82,2.15,1.44,1.61,1.61,1.26,1.79,1.79,0.72,7.18,1.18,1.76,2.15,nan,5.31,0.72,0.40,3.59,1.25,25118.87,20767.92,62.49,0.12,36.75,nan,nan,5.38,263.15,8971.02,22.42,19.24,79.24,71.77,125.59,80.74,179.42,143.54,nan,nan,269.13,5.33,0.00
